NOMBRE            EDAD  VOL   PRECIO
abbott            39    875   19515.0
csc_srl           11    1000  36297.9
land_reko         20    1000  38899.9
ajmetal_products  11    1000  37729.0
hoval             32    1000  32525.0
sin_1             3     1000  32745.0
hpc               32    750   39030.0
sin_2             13    720   10928.4
