NOMBRE          EDAD  POT  PRECIO
Eaton           9     75   205048.69
Ingresoll_Rand  15    75   162329.75
Ingresoll_Rand  13    100  220426.70
Ingresoll_Rand  19    75   61759.52
Ingresoll_Rand  15    50   203339.30
Sullair         12    75   425475.39
ALMIG           15    100  193509.03
Inventado       0     75   494253.61
